ID_0,Country,ID_1,State,ID_2,LGA,ID_3,Ward,Latitude,Longitude
164,Nigeria,2016,Abia,23331,Umu-Nneochi,11,Umuchieze  III,5.911870296,7.362619662
164,Nigeria,2016,Abia,23331,Umu-Nneochi,12,Obinolu/Obiagu/La,5.918083685,7.326712429
164,Nigeria,2016,Abia,23331,Umu-Nneochi,7,Eziama - Agbo,5.934373703,7.286513932
164,Nigeria,2016,Abia,23331,Umu-Nneochi,3,Mbala/Achara,5.961148325,7.361664908
164,Nigeria,2016,Abia,23331,Umu-Nneochi,5,Ndiawa/Umuelem/I,5.976770275,7.407888479
164,Nigeria,2016,Abia,23331,Umu-Nneochi,4,Ezingodo,5.96256276,7.416893987
164,Nigeria,2016,Abia,23331,Umu-Nneochi,8,Ubahu/Akawa/Arokpa,5.924811173,7.482535909
164,Nigeria,2016,Abia,23331,Umu-Nneochi,9,Umuchieze I,5.995991624,7.451439254
164,Nigeria,2016,Abia,23331,Umu-Nneochi,6,Eziama - Ugwu,5.973142925,7.315333588
164,Nigeria,2016,Abia,23331,Umu-Nneochi,2,Umuaku,6.01014212,7.394176697
164,Nigeria,2016,Abia,23331,Umu-Nneochi,1,Amuda,5.994116574,7.369877853
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,10,Gawu,9.110989688,6.812928511
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,9,Gurdi,8.869948965,6.795371582
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,6,Nuku,8.489699254,6.946966157
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,2,Abaji North East,8.476316399,6.921665681
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,5,Rimba Ebagi,8.434713805,6.858829588
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,1,Abaji Central,8.476075727,6.949026186
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,7,Alu Mamagi,8.51316283,6.805568782
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,4,Agyana/Pandagi,8.491651176,6.872670113
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,8,Yaba,8.653610683,6.772622087
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,10,Usama,9.158159241,7.339424148
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,7,Dutse Alhaji,9.130629955,7.483515161
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,2,Kurudu,9.262012294,7.334192937
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,1,Bwari Central,9.263580954,7.420765553
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,4,Shere,9.201107149,7.508953963
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,6,Ushafa,9.209365401,7.403969545
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,1,Gwagwalada Centre,8.922587977,7.038766987
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,2,Kutunku,8.97539437,7.089479799
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,3,Staff Quarters,8.980650377,7.043027155
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,6,Paiko,8.97917613,6.924846118
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,7,Tungan Maje,9.061726129,7.136255425
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,10,Gwako,9.022254496,7.097023698
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,8,Zuba,9.101857094,7.10777068
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,9,Ikwa,9.127375227,7.042441559
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,4,Ibwa,9.177548709,6.944725668
164,Nigeria,2030,Federal Capital Territory,23593,Gwagwalada,5,Dobi,9.079170754,6.946626301
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,2,Chibiri,8.886009938,7.090009449
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,1,Kuje,8.841696592,7.161110091
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,3,Gaube,8.767438174,7.253496609
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,4,Kwaku,8.721659175,7.14922753
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,5,Kabi,8.694911847,7.379535487
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,8,Gudun Karya,8.53342214,7.340733083
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,9,Kujekwa,8.571460919,7.275639709
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,10,Yenche,8.609193364,7.160020406
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,7,Gwargwada,8.531565468,7.074269476
164,Nigeria,2030,Federal Capital Territory,23594,Kuje,6,Rubochi,8.475723348,7.093437219
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,7,Ashara,8.637784169,6.838160309
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,9,Wako,8.573457322,6.979762614
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,10,Yebu,8.634276678,6.973586681
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,8,Gumbo,8.702509781,6.993864544
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,2,Yangoji,8.778857454,7.077552498
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,3,Pai,8.877767359,7.00895075
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,1,Kwali Ward,8.827102975,6.99925795
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,4,Kilankwa,8.825288395,7.089527224
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,5,Dafa,8.769438478,6.890696772
164,Nigeria,2030,Federal Capital Territory,23595,Kwali,6,Kundu,8.862017071,6.894743577
164,Nigeria,2030,Federal Capital Territory,23590,Abaji,3,Abaji South East,8.456669269,6.949096957
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,8,Kashi,8.752025244,7.476980241
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,2,Garki,9.051904971,7.489526564
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,1,City Centre,9.026571818,7.47460398
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,4,Wuse,9.071275651,7.471116208
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,5,Gwarimpa,9.051401876,7.418944322
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,3,Kabusa,8.900496942,7.366882957
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,12,Gwagwa,9.110374119,7.354080975
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,6,Jiwa,9.050936387,7.290130632
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,7,Gui,8.959334025,7.198956425
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,10,Karu,9.004322329,7.518128967
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,11,Nyanya,9.030399853,7.533006163
164,Nigeria,2030,Federal Capital Territory,23591,Municipal,9,Orozo,8.90701811,7.505501889
164,Nigeria,2030,Federal Capital Territory,23592,Bwari,9,Kubwa,9.141963977,7.230670315
164,Nigeria,2017,Adamawa,23332,Demsa,8,Kpasham,9.265589367,11.89020079
164,Nigeria,2017,Adamawa,23332,Demsa,5,Dong,9.365519779,11.97552217
164,Nigeria,2017,Adamawa,23332,Demsa,10,Nassarawo Demsa,9.296248358,12.15006904
164,Nigeria,2017,Adamawa,23332,Demsa,4,Dilli,9.542971724,12.21227608
164,Nigeria,2017,Adamawa,23332,Demsa,6,Dwam,9.416330324,12.19725963
164,Nigeria,2017,Adamawa,23332,Demsa,9,Mbula Kuli,9.457453064,12.30156831
164,Nigeria,2017,Adamawa,23332,Demsa,2,Borrong,9.508809094,12.33516812
164,Nigeria,2017,Adamawa,23332,Demsa,7,Gwamba,9.593622415,12.31463932
164,Nigeria,2017,Adamawa,23332,Demsa,3,Demsa,9.341347677,12.353469
164,Nigeria,2017,Adamawa,23333,Fufore,2,Farang,9.589676565,12.98193313
164,Nigeria,2017,Adamawa,23333,Fufore,10,Wuro Bokki,9.496566725,12.85145041
164,Nigeria,2017,Adamawa,23333,Fufore,7,Pariya,9.432879461,12.75440455
